,Date,Type,Confirmation Code,Start Date,Nights,Listing,Details,Reference,Currency,Amount,Paid Out,Host Fee,Cleaning Fee,Linens fee,Community fee,guest_name_sha256
115,02/21/2019,Reservation,HMCCCBMCPS,02/20/2019,11.0,"Red Victorian - Private room for 3, Friends Room",,,USD,977.02,,30.22,20.0,15.0,40.0,ade4067113f277c3b0fdd52e52a377e86ab87d049e1f24b496c80e1d6486819b
116,02/21/2019,Adjustment,HMSX8CZPEX,02/19/2019,2.0,"Red Victorian - Private room, Peace Room",,,USD,-64.61,,,,,,8f8a53406a6ba74c11e8066f4cbe81e999657f1bbad20b296ad9ccc475f046d3
117,02/20/2019,Payout,,,,,Transfer to *****7750,,USD,,116.13,,,,,
118,02/20/2019,Reservation,HMB44CMAPM,02/19/2019,3.0,Red Victorian - Private room -  Rainbow Room,,,USD,55.35,,1.71,7.0,4.0,7.0,0b444ee969346e6e7f1b7b120fe438abda5f21fc88d2b91cbea883dcbf095402
119,02/17/2019,Reservation,HMSZ8EPBPY,02/16/2019,7.0,"Red Victorian - Private suite w bath, Flower Child",,,USD,60.78,,1.88,3.5,2.0,3.5,35bf35fdeba28e3347e1796f3677c3e25e5820b991c131173466c8136773f950
120,02/20/2019,Payout,,,,,Transfer to *****6485,,USD,,1050.6,,,,,
121,02/20/2019,Reservation,HMDEJ5PDXN,02/19/2019,6.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,546.35,,16.9,15.0,11.25,30.0,c563d4a7351910d3ee5a3ba0cb658c7bb9816b9c90cb0bd948c04fd1e89ab759
122,02/20/2019,Reservation,HMSX8CZPEX,02/19/2019,2.0,"Red Victorian - Private room, Peace Room",,,USD,282.86,,6.75,55.0,,,8f8a53406a6ba74c11e8066f4cbe81e999657f1bbad20b296ad9ccc475f046d3
123,02/20/2019,Reservation,HMB44CMAPM,02/19/2019,3.0,Red Victorian - Private room -  Rainbow Room,,,USD,221.39,,6.85,28.0,16.0,28.0,0b444ee969346e6e7f1b7b120fe438abda5f21fc88d2b91cbea883dcbf095402
124,02/19/2019,Payout,,,,,Transfer to *****6485,,USD,,1152.24,,,,,
125,02/19/2019,Reservation,HMFNXQF4JQ,02/18/2019,12.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,327.69,,4.88,0.0,,7.22,4fca830eb57e49e8ac3b55abc93453f084c1928cf2be44d081236a503789158b
126,02/19/2019,Reservation,HME52ZEJ3H,02/18/2019,10.0,Red Victorian - Air Bunk in shared Peacock Room,,,USD,340.47,,10.53,15.0,15.0,20.0,c317724dc5c5e661988a918d104d0b8818d14c002dd323e6fa61a33fc1a0e6e3
127,02/19/2019,Reservation,HMTPST95YE,02/18/2019,4.0,"Red Victorian - Private room w loftbed, Butterfly",,,USD,368.41,,11.39,35.0,20.0,35.0,59ed50b6a0ed4b7044d98f8285d0279c38f6c3bfc69be7ffb4962f6665f7cbec
128,02/19/2019,Reservation,HM9B2CSWFT,02/18/2019,2.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,115.67,,3.58,15.0,11.25,30.0,ab6a0d86a07c739291e49587bd1d04ff7ac0fcd8d30ebdb94eabedc5d2632a28
129,02/18/2019,Payout,,,,,Transfer to *****4871,,USD,,301.31,,,,,
130,02/18/2019,Reservation,HM8PHPWEEH,02/17/2019,8.0,"Red Victorian - Private suite w/bath, Gigi's",,,USD,132.17,,4.09,4.0,3.0,8.0,36cb4eabd35f61e153efb9e057d93111a88831820c9c6f13295a02c52f4b0f9d
131,02/18/2019,Reservation,HMPKKZRT9J,02/17/2019,4.0,"Red Victorian - Private room w bath, Sunshine",,,USD,77.0,,2.38,7.0,4.0,7.0,5f936241124e630af9d2ed418ddf93f056e6631d0f670cb54f8b9859d66feef9
132,02/18/2019,Reservation,HM8BZFMXWN,02/17/2019,1.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,34.43,,1.06,5.0,3.75,10.0,d0a44162a3f972bfbf0f15a8813af7d0a547f1f20cec2bb17989fe7ff8cd2f92
133,02/18/2019,Reservation,HMW33PZDPK,02/17/2019,2.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,57.71,,1.78,8.75,5.0,8.75,404713a0f4838ea39a13a526134c76c43a63190f24a112ea7ac4b833d1510bb8
134,02/18/2019,Payout,,,,,Transfer to *****6485,,USD,,1713.88,,,,,
135,02/18/2019,Reservation,HM8PHPWEEH,02/17/2019,8.0,"Red Victorian - Private suite w/bath, Gigi's",,,USD,528.69,,16.35,16.0,12.0,32.0,36cb4eabd35f61e153efb9e057d93111a88831820c9c6f13295a02c52f4b0f9d
136,02/18/2019,Reservation,HMCAPBFMCA,02/17/2019,18.0,Red Victorian - Bunk #3 in shared Poster Room,,,USD,600.74,,18.58,15.0,15.0,20.0,1f8e844ea9d930641b4c58df7452c331238880bcc4a91230bdb84a336dc40e86
137,02/18/2019,Reservation,HMPKKZRT9J,02/17/2019,4.0,"Red Victorian - Private room w bath, Sunshine",,,USD,307.99,,9.53,28.0,16.0,28.0,5f936241124e630af9d2ed418ddf93f056e6631d0f670cb54f8b9859d66feef9
138,02/18/2019,Reservation,HM8BZFMXWN,02/17/2019,1.0,"Red Victorian - Private room w/sink, Golden Gate",,,USD,103.31,,3.2,15.0,11.25,30.0,d0a44162a3f972bfbf0f15a8813af7d0a547f1f20cec2bb17989fe7ff8cd2f92
139,02/18/2019,Reservation,HMW33PZDPK,02/17/2019,2.0,"Red Victorian - Private suite w/bath, Redwood",,,USD,173.15,,5.36,26.25,15.0,26.25,404713a0f4838ea39a13a526134c76c43a63190f24a112ea7ac4b833d1510bb8
140,02/17/2019,Payout,,,,,Transfer to *****6485,,USD,,1755.68,,,,,
141,02/17/2019,Reservation,HMZP8ETNZH,02/16/2019,3.0,Red Victorian - Fire Bunk in shared Peacock Room,,,USD,143.56,,4.44,15.0,15.0,20.0,9907ace237bbf253f0da3e50448982bc7f6aca3017a1edb225a963cef33a5254
142,02/17/2019,Reservation,HMZW2S2NDT,02/16/2019,4.0,Red Victorian - Bunk #2 in shared Poster Room,,,USD,194.97,,6.03,15.0,20.0,15.0,85789f0e51b91962de196f56f7c05b40268eea7b61a2de4e14e2b68faed12e1c
